group_name,team_name,qualification_status
A,Mexico,Pending
A,South Africa,Pending
A,South Korea,Pending
A,Czechia,Pending
B,Canada,Pending
B,Switzerland,Pending
B,Qatar,Pending
B,Bosnia and Herzegovina,Pending
C,Brazil,Pending
C,Morocco,Pending
C,Haiti,Pending
C,Scotland,Pending
D,USA,Pending
D,Paraguay,Pending
D,Australia,Pending
D,Türkiye,Pending
E,Germany,Pending
E,Curaçao,Pending
E,Côte d'Ivoire,Pending
E,Ecuador,Pending
F,Netherlands,Pending
F,Japan,Pending
F,Sweden,Pending
F,Tunisia,Pending
G,Belgium,Pending
G,Egypt,Pending
G,IR Iran,Pending
G,New Zealand,Pending
H,Spain,Pending
H,Cabo Verde,Pending
H,Saudi Arabia,Pending
H,Uruguay,Pending
I,France,Pending
I,Senegal,Pending
I,Norway,Pending
I,Iraq,Pending
J,Argentina,Pending
J,Algeria,Pending
J,Austria,Pending
J,Jordan,Pending
K,Portugal,Pending
K,Congo DR,Pending
K,Uzbekistan,Pending
K,Colombia,Pending
L,England,Pending
L,Croatia,Pending
L,Ghana,Pending
L,Panama,Pending
