qualifying_groups,m74,m77,m79,m80,m81,m82,m85,m87
ABCDEFGH,C,F,H,E,B,A,G,D
ABCDEFGI,D,F,C,I,B,A,G,E
ABCDEFGJ,D,F,C,J,B,A,G,E
ABCDEFGK,D,F,C,K,B,A,G,E
ABCDEFGL,D,F,C,E,B,A,G,L
ABCDEFHI,C,F,H,I,B,A,E,D
ABCDEFHJ,C,F,H,E,B,A,J,D
ABCDEFHK,C,F,H,K,B,A,E,D
ABCDEFHL,C,D,H,E,B,A,F,L
ABCDEFIJ,D,F,C,I,B,A,J,E
ABCDEFIK,D,F,C,K,B,A,E,I
ABCDEFIL,D,F,C,I,B,A,E,L
ABCDEFJK,D,F,C,K,B,A,J,E
ABCDEFJL,D,F,C,E,B,A,J,L
ABCDEFKL,D,F,C,K,B,A,E,L
ABCDEGHI,C,D,H,I,B,A,G,E
ABCDEGHJ,C,D,H,J,B,A,G,E
ABCDEGHK,C,D,H,K,B,A,G,E
ABCDEGHL,C,D,H,E,B,A,G,L
ABCDEGIJ,C,D,E,J,B,A,G,I
ABCDEGIK,C,D,E,K,B,A,G,I
ABCDEGIL,C,D,E,I,B,A,G,L
ABCDEGJK,C,D,E,K,B,A,G,J
ABCDEGJL,C,D,E,J,B,A,G,L
ABCDEGKL,C,D,E,K,B,A,G,L
ABCDEHIJ,C,D,H,I,B,A,J,E
ABCDEHIK,C,D,H,K,B,A,E,I
ABCDEHIL,C,D,H,I,B,A,E,L
ABCDEHJK,C,D,H,K,B,A,J,E
ABCDEHJL,C,D,H,E,B,A,J,L
ABCDEHKL,C,D,H,K,B,A,E,L
ABCDEIJK,C,D,E,K,B,A,J,I
ABCDEIJL,C,D,E,I,B,A,J,L
ABCDEIKL,C,D,E,K,B,A,I,L
ABCDEJKL,C,D,E,K,B,A,J,L
ABCDFGHI,C,F,H,I,B,A,G,D
ABCDFGHJ,C,F,H,J,B,A,G,D
ABCDFGHK,C,F,H,K,B,A,G,D
ABCDFGHL,D,F,C,H,B,A,G,L
ABCDFGIJ,D,F,C,J,B,A,G,I
ABCDFGIK,D,F,C,K,B,A,G,I
ABCDFGIL,D,F,C,I,B,A,G,L
ABCDFGJK,D,F,C,K,B,A,G,J
ABCDFGJL,D,F,C,J,B,A,G,L
ABCDFGKL,D,F,C,K,B,A,G,L
ABCDFHIJ,C,F,H,I,B,A,J,D
ABCDFHIK,C,D,H,K,B,A,F,I
ABCDFHIL,C,D,H,I,B,A,F,L
ABCDFHJK,C,F,H,K,B,A,J,D
ABCDFHJL,D,F,C,H,B,A,J,L
ABCDFHKL,C,D,H,K,B,A,F,L
ABCDFIJK,D,F,C,K,B,A,J,I
ABCDFIJL,D,F,C,I,B,A,J,L
ABCDFIKL,D,F,C,K,B,A,I,L
ABCDFJKL,D,F,C,K,B,A,J,L
ABCDGHIJ,C,D,H,J,B,A,G,I
ABCDGHIK,C,D,H,K,B,A,G,I
ABCDGHIL,C,D,H,I,B,A,G,L
ABCDGHJK,C,D,H,K,B,A,G,J
ABCDGHJL,C,D,H,J,B,A,G,L
ABCDGHKL,C,D,H,K,B,A,G,L
ABCDGIJK,D,G,C,K,B,A,J,I
ABCDGIJL,D,G,C,I,B,A,J,L
ABCDGIKL,C,D,I,K,B,A,G,L
ABCDGJKL,D,G,C,K,B,A,J,L
ABCDHIJK,C,D,H,K,B,A,J,I
ABCDHIJL,C,D,H,I,B,A,J,L
ABCDHIKL,C,D,H,K,B,A,I,L
ABCDHJKL,C,D,H,K,B,A,J,L
ABCDIJKL,C,D,I,K,B,A,J,L
ABCEFGHI,C,F,H,I,B,A,G,E
ABCEFGHJ,C,F,H,J,B,A,G,E
ABCEFGHK,C,F,H,K,B,A,G,E
ABCEFGHL,C,F,H,E,B,A,G,L
ABCEFGIJ,C,F,E,J,B,A,G,I
ABCEFGIK,C,F,E,K,B,A,G,I
ABCEFGIL,C,F,E,I,B,A,G,L
ABCEFGJK,C,F,E,K,B,A,G,J
ABCEFGJL,C,F,E,J,B,A,G,L
ABCEFGKL,C,F,E,K,B,A,G,L
ABCEFHIJ,C,F,H,I,B,A,J,E
ABCEFHIK,C,F,H,K,B,A,E,I
ABCEFHIL,C,F,H,I,B,A,E,L
ABCEFHJK,C,F,H,K,B,A,J,E
ABCEFHJL,C,F,H,E,B,A,J,L
ABCEFHKL,C,F,H,K,B,A,E,L
ABCEFIJK,C,F,E,K,B,A,J,I
ABCEFIJL,C,F,E,I,B,A,J,L
ABCEFIKL,C,F,E,K,B,A,I,L
ABCEFJKL,C,F,E,K,B,A,J,L
ABCEGHIJ,C,G,H,I,B,A,J,E
ABCEGHIK,C,H,E,K,B,A,G,I
ABCEGHIL,C,H,E,I,B,A,G,L
ABCEGHJK,C,G,H,K,B,A,J,E
ABCEGHJL,C,G,H,E,B,A,J,L
ABCEGHKL,C,H,E,K,B,A,G,L
ABCEGIJK,C,G,E,K,B,A,J,I
ABCEGIJL,C,G,E,I,B,A,J,L
ABCEGIKL,A,C,E,K,B,I,G,L
ABCEGJKL,C,G,E,K,B,A,J,L
ABCEHIJK,C,H,E,K,B,A,J,I
ABCEHIJL,C,H,E,I,B,A,J,L
ABCEHIKL,C,H,E,K,B,A,I,L
ABCEHJKL,C,H,E,K,B,A,J,L
ABCEIJKL,A,C,E,K,B,I,J,L
ABCFGHIJ,C,F,H,J,B,A,G,I
ABCFGHIK,C,F,H,K,B,A,G,I
ABCFGHIL,C,F,H,I,B,A,G,L
ABCFGHJK,C,F,H,K,B,A,G,J
ABCFGHJL,C,F,H,J,B,A,G,L
ABCFGHKL,C,F,H,K,B,A,G,L
ABCFGIJK,F,G,C,K,B,A,J,I
ABCFGIJL,F,G,C,I,B,A,J,L
ABCFGIKL,C,F,I,K,B,A,G,L
ABCFGJKL,F,G,C,K,B,A,J,L
ABCFHIJK,C,F,H,K,B,A,J,I
ABCFHIJL,C,F,H,I,B,A,J,L
ABCFHIKL,C,F,H,K,B,A,I,L
ABCFHJKL,C,F,H,K,B,A,J,L
ABCFIJKL,C,F,I,K,B,A,J,L
ABCGHIJK,C,G,H,K,B,A,J,I
ABCGHIJL,C,G,H,I,B,A,J,L
ABCGHIKL,C,H,I,K,B,A,G,L
ABCGHJKL,C,G,H,K,B,A,J,L
ABCGIJKL,C,G,I,K,B,A,J,L
ABCHIJKL,C,H,I,K,B,A,J,L
ABDEFGHI,D,F,H,I,B,A,G,E
ABDEFGHJ,D,F,H,J,B,A,G,E
ABDEFGHK,D,F,H,K,B,A,G,E
ABDEFGHL,D,F,H,E,B,A,G,L
ABDEFGIJ,D,F,E,J,B,A,G,I
ABDEFGIK,D,F,E,K,B,A,G,I
ABDEFGIL,D,F,E,I,B,A,G,L
ABDEFGJK,D,F,E,K,B,A,G,J
ABDEFGJL,D,F,E,J,B,A,G,L
ABDEFGKL,D,F,E,K,B,A,G,L
ABDEFHIJ,D,F,H,I,B,A,J,E
ABDEFHIK,D,F,H,K,B,A,E,I
ABDEFHIL,D,F,H,I,B,A,E,L
ABDEFHJK,D,F,H,K,B,A,J,E
ABDEFHJL,D,F,H,E,B,A,J,L
ABDEFHKL,D,F,H,K,B,A,E,L
ABDEFIJK,D,F,E,K,B,A,J,I
ABDEFIJL,D,F,E,I,B,A,J,L
ABDEFIKL,D,F,E,K,B,A,I,L
ABDEFJKL,D,F,E,K,B,A,J,L
ABDEGHIJ,D,G,H,I,B,A,J,E
ABDEGHIK,D,H,E,K,B,A,G,I
ABDEGHIL,D,H,E,I,B,A,G,L
ABDEGHJK,D,G,H,K,B,A,J,E
ABDEGHJL,D,G,H,E,B,A,J,L
ABDEGHKL,D,H,E,K,B,A,G,L
ABDEGIJK,D,G,E,K,B,A,J,I
ABDEGIJL,D,G,E,I,B,A,J,L
ABDEGIKL,A,D,E,K,B,I,G,L
ABDEGJKL,D,G,E,K,B,A,J,L
ABDEHIJK,D,H,E,K,B,A,J,I
ABDEHIJL,D,H,E,I,B,A,J,L
ABDEHIKL,D,H,E,K,B,A,I,L
ABDEHJKL,D,H,E,K,B,A,J,L
ABDEIJKL,A,D,E,K,B,I,J,L
ABDFGHIJ,D,F,H,J,B,A,G,I
ABDFGHIK,D,F,H,K,B,A,G,I
ABDFGHIL,D,F,H,I,B,A,G,L
ABDFGHJK,D,F,H,K,B,A,G,J
ABDFGHJL,D,F,H,J,B,A,G,L
ABDFGHKL,D,F,H,K,B,A,G,L
ABDFGIJK,D,G,F,K,B,A,J,I
ABDFGIJL,D,G,F,I,B,A,J,L
ABDFGIKL,D,F,I,K,B,A,G,L
ABDFGJKL,D,G,F,K,B,A,J,L
ABDFHIJK,D,F,H,K,B,A,J,I
ABDFHIJL,D,F,H,I,B,A,J,L
ABDFHIKL,D,F,H,K,B,A,I,L
ABDFHJKL,D,F,H,K,B,A,J,L
ABDFIJKL,D,F,I,K,B,A,J,L
ABDGHIJK,D,G,H,K,B,A,J,I
ABDGHIJL,D,G,H,I,B,A,J,L
ABDGHIKL,D,H,I,K,B,A,G,L
ABDGHJKL,D,G,H,K,B,A,J,L
ABDGIJKL,D,G,I,K,B,A,J,L
