id,team_id,ranking_date,rank,points,previous_rank,source,notes,created_at
1,3144,2026-01-01,15,1678.0,16.0,manual,,2026-05-03 03:55:01
2,3,2026-01-01,14,1680.0,15.0,manual,,2026-05-03 03:55:01
3,2,2026-01-01,31,1516.0,32.0,manual,,2026-05-03 03:55:01
7,43,2026-04-01,1,,,manual,,2026-05-12 02:17:25
8,39,2026-04-01,2,,,manual,,2026-05-12 02:17:25
9,47,2026-04-01,3,,,manual,,2026-05-12 02:17:25
10,55,2026-04-01,4,,,manual,,2026-05-12 02:17:25
11,51,2026-04-01,5,,,manual,,2026-05-12 02:17:25
12,19,2026-04-01,6,,,manual,,2026-05-12 02:17:25
13,31,2026-04-01,7,,,manual,,2026-05-12 02:17:25
14,20,2026-04-01,8,,,manual,,2026-05-12 02:17:25
15,35,2026-04-01,9,,,manual,,2026-05-12 02:17:25
16,27,2026-04-01,10,,,manual,,2026-05-12 02:17:25
17,56,2026-04-01,11,,,manual,,2026-05-12 02:17:25
18,54,2026-04-01,13,,,manual,,2026-05-12 02:17:25
19,44,2026-04-01,14,,,manual,,2026-05-12 02:17:25
20,3,2026-04-01,15,,,manual,,2026-05-12 02:17:25
21,3144,2026-04-01,16,,,manual,,2026-05-12 02:17:25
22,42,2026-04-01,17,,,manual,,2026-05-12 02:17:25
23,32,2026-04-01,18,,,manual,,2026-05-12 02:17:25
24,16,2026-04-01,19,,,manual,,2026-05-12 02:17:25
25,30,2026-04-01,23,,,manual,,2026-05-12 02:17:25
26,49,2026-04-01,24,,,manual,,2026-05-12 02:17:25
27,25,2026-04-01,27,,,manual,,2026-05-12 02:17:25
28,48,2026-04-01,28,,,manual,,2026-05-12 02:17:25
29,36,2026-04-01,29,,,manual,,2026-05-12 02:17:25
30,2,2026-04-01,30,,,manual,,2026-05-12 02:17:25
31,45,2026-04-01,31,,,manual,,2026-05-12 02:17:25
32,58,2026-04-01,33,,,manual,,2026-05-12 02:17:25
33,33,2026-04-01,38,,,manual,,2026-05-12 02:17:25
34,24,2026-04-01,40,,,manual,,2026-05-12 02:17:25
35,14,2026-04-01,41,,,manual,,2026-05-12 02:17:25
36,22,2026-04-01,43,,,manual,,2026-05-12 02:17:25
37,34,2026-04-01,44,,,manual,,2026-05-12 02:17:25
38,53,2026-04-01,50,,,manual,,2026-05-12 02:17:25
39,17,2026-04-01,55,,,manual,,2026-05-12 02:17:25
40,46,2026-04-01,57,,,manual,,2026-05-12 02:17:25
41,12,2026-04-01,60,,,manual,,2026-05-12 02:17:25
42,41,2026-04-01,61,,,manual,,2026-05-12 02:17:25
43,50,2026-04-01,63,,,manual,,2026-05-12 02:17:25
44,18,2026-04-01,65,,,manual,,2026-05-12 02:17:25
45,40,2026-04-01,69,,,manual,,2026-05-12 02:17:25
46,57,2026-04-01,74,,,manual,,2026-05-12 02:17:25
47,3175,2026-04-01,82,,,manual,,2026-05-12 02:17:25
48,21,2026-04-01,83,,,manual,,2026-05-12 02:17:25
49,38,2026-04-01,85,,,manual,,2026-05-12 02:17:25
68,37,2026-04-01,21,,,manual,,2026-05-12 02:32:30
69,26,2026-04-01,22,,,manual,,2026-05-12 02:32:30
72,13,2026-04-01,25,,,manual,,2026-05-12 02:32:30
84,52,2026-04-01,46,,,manual,,2026-05-12 02:32:30
126,29,2026-04-01,34,,,manual,,2026-05-12 02:33:39
127,47,2026-06-11,1,,,FIFA.com,,2026-06-12 12:26:49
128,39,2026-06-11,2,,,FIFA.com,,2026-06-12 12:26:49
129,43,2026-06-11,3,,,FIFA.com,,2026-06-12 12:26:49
130,55,2026-06-11,4,,,FIFA.com,,2026-06-12 12:26:49
131,51,2026-06-11,5,,,FIFA.com,,2026-06-12 12:26:49
132,19,2026-06-11,6,,,FIFA.com,,2026-06-12 12:26:49
133,20,2026-06-11,7,,,FIFA.com,,2026-06-12 12:26:49
134,31,2026-06-11,8,,,FIFA.com,,2026-06-12 12:26:49
135,35,2026-06-11,9,,,FIFA.com,,2026-06-12 12:26:49
136,27,2026-06-11,10,,,FIFA.com,,2026-06-12 12:26:49
137,56,2026-06-11,11,,,FIFA.com,,2026-06-12 12:26:49
138,54,2026-06-11,13,,,FIFA.com,,2026-06-12 12:26:49
139,3,2026-06-11,14,,,FIFA.com,,2026-06-12 12:26:49
140,44,2026-06-11,15,,,FIFA.com,,2026-06-12 12:26:49
141,42,2026-06-11,16,,,FIFA.com,,2026-06-12 12:26:49
142,3144,2026-06-11,17,,,FIFA.com,,2026-06-12 12:26:49
143,32,2026-06-11,18,,,FIFA.com,,2026-06-12 12:26:49
144,16,2026-06-11,19,,,FIFA.com,,2026-06-12 12:26:49
145,37,2026-06-11,20,,,FIFA.com,,2026-06-12 12:26:49
146,26,2026-06-11,22,,,FIFA.com,,2026-06-12 12:26:49
147,30,2026-06-11,23,,,FIFA.com,,2026-06-12 12:26:49
148,49,2026-06-11,24,,,FIFA.com,,2026-06-12 12:26:49
149,13,2026-06-11,25,,,FIFA.com,,2026-06-12 12:26:49
150,25,2026-06-11,27,,,FIFA.com,,2026-06-12 12:26:49
151,48,2026-06-11,28,,,FIFA.com,,2026-06-12 12:26:49
152,36,2026-06-11,29,,,FIFA.com,,2026-06-12 12:26:49
153,2,2026-06-11,30,,,FIFA.com,,2026-06-12 12:26:49
154,45,2026-06-11,31,,,FIFA.com,,2026-06-12 12:26:49
155,29,2026-06-11,33,,,FIFA.com,,2026-06-12 12:26:49
156,58,2026-06-11,34,,,FIFA.com,,2026-06-12 12:26:49
157,33,2026-06-11,38,,,FIFA.com,,2026-06-12 12:26:49
158,14,2026-06-11,40,,,FIFA.com,,2026-06-12 12:26:49
159,24,2026-06-11,41,,,FIFA.com,,2026-06-12 12:26:49
160,22,2026-06-11,42,,,FIFA.com,,2026-06-12 12:26:49
161,34,2026-06-11,45,,,FIFA.com,,2026-06-12 12:26:49
162,52,2026-06-11,46,,,FIFA.com,,2026-06-12 12:26:49
163,53,2026-06-11,50,,,FIFA.com,,2026-06-12 12:26:49
164,17,2026-06-11,56,,,FIFA.com,,2026-06-12 12:26:49
165,46,2026-06-11,57,,,FIFA.com,,2026-06-12 12:26:49
166,12,2026-06-11,60,,,FIFA.com,,2026-06-12 12:26:49
167,41,2026-06-11,61,,,FIFA.com,,2026-06-12 12:26:49
168,50,2026-06-11,63,,,FIFA.com,,2026-06-12 12:26:49
169,18,2026-06-11,64,,,FIFA.com,,2026-06-12 12:26:49
170,40,2026-06-11,67,,,FIFA.com,,2026-06-12 12:26:49
171,57,2026-06-11,73,,,FIFA.com,,2026-06-12 12:26:49
172,3175,2026-06-11,82,,,FIFA.com,,2026-06-12 12:26:49
173,21,2026-06-11,83,,,FIFA.com,,2026-06-12 12:26:49
174,38,2026-06-11,85,,,FIFA.com,,2026-06-12 12:26:49
