id,fixture_id,external_event_id,commence_time,home_team,away_team,bookmaker_key,bookmaker_title,market_type,outcome_name,odds_format,american_odds,decimal_odds,implied_probability,point,source,snapshot_ts,notes,created_at
1,1.0,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,fanduel,FanDuel,h2h,Mexico,american,-190,1.526315789473684,0.6551724137931035,,FanDuel,2026-05-16T03:34:39Z,Informational match odds snapshot from The Odds API,2026-05-16 03:35:38
2,1.0,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,fanduel,FanDuel,h2h,South Africa,american,600,7.0,0.14285714285714285,,FanDuel,2026-05-16T03:34:39Z,Informational match odds snapshot from The Odds API,2026-05-16 03:35:38
3,1.0,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,fanduel,FanDuel,h2h,Draw,american,310,4.1,0.24390243902439027,,FanDuel,2026-05-16T03:34:39Z,Informational match odds snapshot from The Odds API,2026-05-16 03:35:38
4,1.0,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,draftkings,DraftKings,h2h,Mexico,american,-195,1.5128205128205128,0.6610169491525424,,DraftKings,2026-05-16T03:35:22Z,Informational match odds snapshot from The Odds API,2026-05-16 03:35:38
5,1.0,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,draftkings,DraftKings,h2h,South Africa,american,550,6.5,0.15384615384615385,,DraftKings,2026-05-16T03:35:22Z,Informational match odds snapshot from The Odds API,2026-05-16 03:35:38
6,1.0,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,draftkings,DraftKings,h2h,Draw,american,330,4.3,0.23255813953488372,,DraftKings,2026-05-16T03:35:22Z,Informational match odds snapshot from The Odds API,2026-05-16 03:35:38
7,1.0,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,betrivers,BetRivers,h2h,Mexico,american,-210,1.4761904761904763,0.6774193548387096,,BetRivers,2026-05-16T03:35:23Z,Informational match odds snapshot from The Odds API,2026-05-16 03:35:38
8,1.0,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,betrivers,BetRivers,h2h,South Africa,american,600,7.0,0.14285714285714285,,BetRivers,2026-05-16T03:35:23Z,Informational match odds snapshot from The Odds API,2026-05-16 03:35:38
9,1.0,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,betrivers,BetRivers,h2h,Draw,american,300,4.0,0.25,,BetRivers,2026-05-16T03:35:23Z,Informational match odds snapshot from The Odds API,2026-05-16 03:35:38
10,1.0,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,betrivers,BetRivers,totals,Over,american,100,2.0,0.5,2.5,BetRivers,2026-05-16T03:35:23Z,Informational match odds snapshot from The Odds API,2026-05-16 03:35:38
11,1.0,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,betrivers,BetRivers,totals,Under,american,-139,1.7194244604316546,0.5815899581589958,2.5,BetRivers,2026-05-16T03:35:23Z,Informational match odds snapshot from The Odds API,2026-05-16 03:35:38
12,,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czechia,fanduel,FanDuel,h2h,Czech Republic,american,165,2.65,0.37735849056603776,,FanDuel,2026-05-16T03:34:39Z,Informational match odds snapshot from The Odds API,2026-05-16 03:35:38
13,,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czechia,fanduel,FanDuel,h2h,South Korea,american,170,2.7,0.37037037037037035,,FanDuel,2026-05-16T03:34:39Z,Informational match odds snapshot from The Odds API,2026-05-16 03:35:38
14,,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czechia,fanduel,FanDuel,h2h,Draw,american,220,3.2,0.3125,,FanDuel,2026-05-16T03:34:39Z,Informational match odds snapshot from The Odds API,2026-05-16 03:35:38
15,,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czechia,draftkings,DraftKings,h2h,Czech Republic,american,170,2.7,0.37037037037037035,,DraftKings,2026-05-16T03:35:22Z,Informational match odds snapshot from The Odds API,2026-05-16 03:35:38
16,,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czechia,draftkings,DraftKings,h2h,South Korea,american,175,2.75,0.36363636363636365,,DraftKings,2026-05-16T03:35:22Z,Informational match odds snapshot from The Odds API,2026-05-16 03:35:38
17,,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czechia,draftkings,DraftKings,h2h,Draw,american,220,3.2,0.3125,,DraftKings,2026-05-16T03:35:22Z,Informational match odds snapshot from The Odds API,2026-05-16 03:35:38
18,,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czechia,betrivers,BetRivers,h2h,Czech Republic,american,170,2.7,0.37037037037037035,,BetRivers,2026-05-16T03:35:23Z,Informational match odds snapshot from The Odds API,2026-05-16 03:35:38
19,,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czechia,betrivers,BetRivers,h2h,South Korea,american,160,2.6,0.3846153846153846,,BetRivers,2026-05-16T03:35:23Z,Informational match odds snapshot from The Odds API,2026-05-16 03:35:38
20,,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czechia,betrivers,BetRivers,h2h,Draw,american,215,3.15,0.31746031746031744,,BetRivers,2026-05-16T03:35:23Z,Informational match odds snapshot from The Odds API,2026-05-16 03:35:38
21,,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czechia,betrivers,BetRivers,totals,Over,american,118,2.1799999999999997,0.4587155963302753,2.5,BetRivers,2026-05-16T03:35:23Z,Informational match odds snapshot from The Odds API,2026-05-16 03:35:38
22,,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czechia,betrivers,BetRivers,totals,Under,american,-165,1.606060606060606,0.6226415094339623,2.5,BetRivers,2026-05-16T03:35:23Z,Informational match odds snapshot from The Odds API,2026-05-16 03:35:38
23,4.0,d1f4f946c70a0b4e81f5d43e9d32361c,2026-06-12T19:00:00Z,Canada,Bosnia and Herzegovina,fanduel,FanDuel,h2h,Bosnia & Herzegovina,american,380,4.8,0.20833333333333334,,FanDuel,2026-05-16T03:34:39Z,Informational match odds snapshot from The Odds API,2026-05-16 03:35:38
24,4.0,d1f4f946c70a0b4e81f5d43e9d32361c,2026-06-12T19:00:00Z,Canada,Bosnia and Herzegovina,fanduel,FanDuel,h2h,Canada,american,-145,1.6896551724137931,0.5918367346938775,,FanDuel,2026-05-16T03:34:39Z,Informational match odds snapshot from The Odds API,2026-05-16 03:35:38
25,4.0,d1f4f946c70a0b4e81f5d43e9d32361c,2026-06-12T19:00:00Z,Canada,Bosnia and Herzegovina,fanduel,FanDuel,h2h,Draw,american,260,3.6,0.2777777777777778,,FanDuel,2026-05-16T03:34:39Z,Informational match odds snapshot from The Odds API,2026-05-16 03:35:38
26,4.0,d1f4f946c70a0b4e81f5d43e9d32361c,2026-06-12T19:00:00Z,Canada,Bosnia and Herzegovina,draftkings,DraftKings,h2h,Bosnia & Herzegovina,american,340,4.4,0.22727272727272727,,DraftKings,2026-05-16T03:35:22Z,Informational match odds snapshot from The Odds API,2026-05-16 03:35:38
27,4.0,d1f4f946c70a0b4e81f5d43e9d32361c,2026-06-12T19:00:00Z,Canada,Bosnia and Herzegovina,draftkings,DraftKings,h2h,Canada,american,-125,1.8,0.5555555555555556,,DraftKings,2026-05-16T03:35:22Z,Informational match odds snapshot from The Odds API,2026-05-16 03:35:38
28,4.0,d1f4f946c70a0b4e81f5d43e9d32361c,2026-06-12T19:00:00Z,Canada,Bosnia and Herzegovina,draftkings,DraftKings,h2h,Draw,american,275,3.75,0.26666666666666666,,DraftKings,2026-05-16T03:35:22Z,Informational match odds snapshot from The Odds API,2026-05-16 03:35:38
