id,team_name,ranking_date,rank,points,previous_rank,source,notes,is_world_cup_team,created_at
5,France,2026-04-01,1,,,manual,,1,2026-05-12 02:17:25
6,Spain,2026-04-01,2,,,manual,,1,2026-05-12 02:17:25
7,Argentina,2026-04-01,3,,,manual,,1,2026-05-12 02:17:25
8,England,2026-04-01,4,,,manual,,1,2026-05-12 02:17:25
9,Portugal,2026-04-01,5,,,manual,,1,2026-05-12 02:17:25
10,Brazil,2026-04-01,6,,,manual,,1,2026-05-12 02:17:25
11,Netherlands,2026-04-01,7,,,manual,,1,2026-05-12 02:17:25
12,Morocco,2026-04-01,8,,,manual,,1,2026-05-12 02:17:25
13,Belgium,2026-04-01,9,,,manual,,1,2026-05-12 02:17:25
14,Germany,2026-04-01,10,,,manual,,1,2026-05-12 02:17:25
15,Croatia,2026-04-01,11,,,manual,,1,2026-05-12 02:17:25
16,Italy,2026-04-01,12,,,manual,,0,2026-05-12 02:17:25
17,Colombia,2026-04-01,13,,,manual,,1,2026-05-12 02:17:25
18,Senegal,2026-04-01,14,,,manual,,1,2026-05-12 02:17:25
19,Mexico,2026-04-01,15,,,manual,,1,2026-05-12 02:17:25
20,USA,2026-04-01,16,,,manual,,1,2026-05-12 02:17:25
21,Uruguay,2026-04-01,17,,,manual,,1,2026-05-12 02:17:25
22,Japan,2026-04-01,18,,,manual,,1,2026-05-12 02:17:25
23,Switzerland,2026-04-01,19,,,manual,,1,2026-05-12 02:17:25
24,Denmark,2026-04-01,20,,,manual,,0,2026-05-12 02:17:25
25,IR Iran,2026-04-01,21,,,manual,,1,2026-05-12 02:17:25
26,Türkiye,2026-04-01,22,,,manual,,1,2026-05-12 02:17:25
27,Ecuador,2026-04-01,23,,,manual,,1,2026-05-12 02:17:25
28,Austria,2026-04-01,24,,,manual,,1,2026-05-12 02:17:25
30,Nigeria,2026-04-01,26,,,manual,,0,2026-05-12 02:17:25
31,Australia,2026-04-01,27,,,manual,,1,2026-05-12 02:17:25
32,Algeria,2026-04-01,28,,,manual,,1,2026-05-12 02:17:25
33,Egypt,2026-04-01,29,,,manual,,1,2026-05-12 02:17:25
34,Canada,2026-04-01,30,,,manual,,1,2026-05-12 02:17:25
35,Norway,2026-04-01,31,,,manual,,1,2026-05-12 02:17:25
36,Ukraine,2026-04-01,32,,,manual,,0,2026-05-12 02:17:25
37,Panama,2026-04-01,33,,,manual,,1,2026-05-12 02:17:25
38,Côte d'Ivoire,2026-04-01,34,,,manual,,1,2026-05-12 02:17:25
39,Poland,2026-04-01,35,,,manual,,0,2026-05-12 02:17:25
40,Russia,2026-04-01,36,,,manual,,0,2026-05-12 02:17:25
41,Wales,2026-04-01,37,,,manual,,0,2026-05-12 02:17:25
42,Sweden,2026-04-01,38,,,manual,,1,2026-05-12 02:17:25
43,Serbia,2026-04-01,39,,,manual,,0,2026-05-12 02:17:25
44,Paraguay,2026-04-01,40,,,manual,,1,2026-05-12 02:17:25
45,Czechia,2026-04-01,41,,,manual,,1,2026-05-12 02:17:25
46,Hungary,2026-04-01,42,,,manual,,0,2026-05-12 02:17:25
