id,group_name,team_id,qualification_status,created_at,updated_at
1,A,3,,2026-05-03 03:55:01,2026-05-14 11:31:37
2,B,2,,2026-05-03 03:55:01,2026-05-14 11:31:37
3,D,3144,,2026-05-03 03:55:01,2026-05-14 11:31:37
5,A,12,Pending,2026-05-12 01:26:27,2026-05-14 11:31:37
6,A,13,Pending,2026-05-12 01:26:27,2026-05-14 11:31:37
7,A,14,Pending,2026-05-12 01:26:27,2026-05-14 11:31:37
9,B,16,Pending,2026-05-12 01:26:27,2026-05-14 11:31:37
10,B,17,Pending,2026-05-12 01:26:27,2026-05-14 11:31:37
11,B,18,Pending,2026-05-12 01:26:27,2026-05-14 11:31:37
12,C,19,Pending,2026-05-12 01:26:27,2026-05-14 11:31:37
13,C,20,Pending,2026-05-12 01:26:27,2026-05-14 11:31:37
14,C,21,Pending,2026-05-12 01:26:27,2026-05-14 11:31:37
15,C,22,Pending,2026-05-12 01:26:27,2026-05-14 11:31:37
17,D,24,Pending,2026-05-12 01:26:27,2026-05-14 11:31:37
18,D,25,Pending,2026-05-12 01:26:27,2026-05-14 11:31:37
20,E,27,Pending,2026-05-12 01:26:27,2026-05-14 11:31:37
21,E,3175,Pending,2026-05-12 01:26:27,2026-05-14 11:31:37
22,E,29,Pending,2026-05-12 01:26:27,2026-05-14 11:31:37
23,E,30,Pending,2026-05-12 01:26:27,2026-05-14 11:31:37
24,F,31,Pending,2026-05-12 01:26:27,2026-05-14 11:31:37
25,F,32,Pending,2026-05-12 01:26:27,2026-05-14 11:31:37
26,F,33,Pending,2026-05-12 01:26:27,2026-05-14 11:31:37
27,F,34,Pending,2026-05-12 01:26:27,2026-05-14 11:31:37
28,G,35,Pending,2026-05-12 01:26:27,2026-05-14 11:31:37
29,G,36,Pending,2026-05-12 01:26:27,2026-05-14 11:31:37
30,G,37,Pending,2026-05-12 01:26:27,2026-05-14 11:31:37
31,G,38,Pending,2026-05-12 01:26:27,2026-05-14 11:31:37
32,H,39,Pending,2026-05-12 01:26:27,2026-05-14 11:31:37
33,H,40,Pending,2026-05-12 01:26:27,2026-05-14 11:31:37
34,H,41,Pending,2026-05-12 01:26:27,2026-05-14 11:31:37
35,H,42,Pending,2026-05-12 01:26:27,2026-05-14 11:31:37
36,I,43,Pending,2026-05-12 01:26:27,2026-05-14 11:31:37
37,I,44,Pending,2026-05-12 01:26:27,2026-05-14 11:31:37
38,I,45,Pending,2026-05-12 01:26:27,2026-05-14 11:31:37
39,I,46,Pending,2026-05-12 01:26:27,2026-05-14 11:31:37
40,J,47,Pending,2026-05-12 01:26:27,2026-05-14 11:31:37
41,J,48,Pending,2026-05-12 01:26:27,2026-05-14 11:31:37
42,J,49,Pending,2026-05-12 01:26:27,2026-05-14 11:31:37
43,J,50,Pending,2026-05-12 01:26:27,2026-05-14 11:31:37
44,K,51,Pending,2026-05-12 01:26:27,2026-05-14 11:31:37
45,K,52,Pending,2026-05-12 01:26:27,2026-05-14 11:31:37
46,K,53,Pending,2026-05-12 01:26:27,2026-05-14 11:31:37
47,K,54,Pending,2026-05-12 01:26:27,2026-05-14 11:31:37
48,L,55,Pending,2026-05-12 01:26:27,2026-05-14 11:31:37
49,L,56,Pending,2026-05-12 01:26:27,2026-05-14 11:31:37
50,L,57,Pending,2026-05-12 01:26:27,2026-05-14 11:31:37
51,L,58,Pending,2026-05-12 01:26:27,2026-05-14 11:31:37
7253,D,26,Pending,2026-05-12 02:25:51,2026-05-14 11:31:37
