match_number,round_name,game_label,city,updated_at
1,Group A,Mexico vs South Africa,Mexico City,2026-05-14 11:31:37
2,Group A,Korea Republic vs Czechia,Guadalajara,2026-05-14 11:31:37
3,Group B,Canada vs Bosnia and Herzegovina,Toronto,2026-05-14 11:31:37
4,Group D,United States vs Paraguay,Los Angeles,2026-05-14 11:31:37
5,Group C,Haiti vs Scotland,Boston,2026-05-14 11:31:37
6,Group D,Australia vs Turkiye,Vancouver,2026-05-14 11:31:37
7,Group C,Brazil vs Morocco,New York New Jersey,2026-05-14 11:31:37
8,Group B,Qatar vs Switzerland,San Francisco Bay Area,2026-05-14 11:31:37
9,Group E,Cote d'Ivoire vs Ecuador,Philadelphia,2026-05-14 11:31:37
10,Group E,Germany vs Curacao,Houston,2026-05-14 11:31:37
11,Group F,Netherlands vs Japan,Dallas,2026-05-14 11:31:37
12,Group F,Sweden vs Tunisia,Monterrey,2026-05-14 11:31:37
13,Group H,Saudi Arabia vs Uruguay,Miami,2026-05-14 11:31:37
14,Group H,Spain vs Cabo Verde,Atlanta,2026-05-14 11:31:37
15,Group G,IR Iran vs New Zealand,Los Angeles,2026-05-14 11:31:37
16,Group G,Belgium vs Egypt,Seattle,2026-05-14 11:31:37
17,Group I,France vs Senegal,New York New Jersey,2026-05-14 11:31:37
18,Group I,Iraq vs Norway,Boston,2026-05-14 11:31:37
19,Group J,Argentina vs Algeria,Kansas City,2026-05-14 11:31:37
20,Group J,Austria vs Jordan,San Francisco Bay Area,2026-05-14 11:31:37
21,Group L,Ghana vs Panama,Toronto,2026-05-14 11:31:37
22,Group L,England vs Croatia,Dallas,2026-05-14 11:31:37
23,Group K,Portugal vs Congo DR,Houston,2026-05-14 11:31:37
24,Group K,Uzbekistan vs Colombia,Mexico City,2026-05-14 11:31:37
25,Group A,Czechia vs South Africa,Atlanta,2026-05-14 11:31:37
26,Group B,Switzerland vs Bosnia and Herzegovina,Los Angeles,2026-05-14 11:31:37
27,Group B,Canada vs Qatar,Vancouver,2026-05-14 11:31:37
28,Group A,Mexico vs Korea Republic,Guadalajara,2026-05-14 11:31:37
29,Group C,Brazil vs Haiti,Philadelphia,2026-05-14 11:31:37
30,Group C,Scotland vs Morocco,Boston,2026-05-14 11:31:37
31,Group D,Turkiye vs Paraguay,San Francisco Bay Area,2026-05-14 11:31:37
32,Group D,United States vs Australia,Seattle,2026-05-14 11:31:37
33,Group E,Germany vs Cote d'Ivoire,Toronto,2026-05-14 11:31:37
34,Group E,Ecuador vs Curacao,Kansas City,2026-05-14 11:31:37
35,Group F,Netherlands vs Sweden,Houston,2026-05-14 11:31:37
36,Group F,Tunisia vs Japan,Monterrey,2026-05-14 11:31:37
37,Group H,Uruguay vs Cabo Verde,Miami,2026-05-14 11:31:37
38,Group H,Spain vs Saudi Arabia,Atlanta,2026-05-14 11:31:37
39,Group G,Belgium vs IR Iran,Los Angeles,2026-05-14 11:31:37
40,Group G,New Zealand vs Egypt,Vancouver,2026-05-14 11:31:37
41,Group I,Norway vs Senegal,New York New Jersey,2026-05-14 11:31:37
42,Group I,France vs Iraq,Philadelphia,2026-05-14 11:31:37
43,Group J,Argentina vs Austria,Dallas,2026-05-14 11:31:37
44,Group J,Jordan vs Algeria,San Francisco Bay Area,2026-05-14 11:31:37
45,Group L,England vs Ghana,Boston,2026-05-14 11:31:37
46,Group L,Panama vs Croatia,Toronto,2026-05-14 11:31:37
47,Group K,Portugal vs Uzbekistan,Houston,2026-05-14 11:31:37
48,Group K,Colombia vs Congo DR,Guadalajara,2026-05-14 11:31:37
49,Group C,Scotland vs Brazil,Miami,2026-05-14 11:31:37
50,Group C,Morocco vs Haiti,Atlanta,2026-05-14 11:31:37
51,Group B,Switzerland vs Canada,Vancouver,2026-05-14 11:31:37
52,Group B,Bosnia and Herzegovina vs Qatar,Seattle,2026-05-14 11:31:37
53,Group A,Czechia vs Mexico,Mexico City,2026-05-14 11:31:37
54,Group A,South Africa vs Korea Republic,Monterrey,2026-05-14 11:31:37
55,Group E,Curacao vs Cote d'Ivoire,Philadelphia,2026-05-14 11:31:37
56,Group E,Ecuador vs Germany,New York New Jersey,2026-05-14 11:31:37
57,Group F,Japan vs Sweden,Dallas,2026-05-14 11:31:37
58,Group F,Tunisia vs Netherlands,Kansas City,2026-05-14 11:31:37
59,Group D,Turkiye vs United States,Los Angeles,2026-05-14 11:31:37
60,Group D,Paraguay vs Australia,San Francisco Bay Area,2026-05-14 11:31:37
61,Group I,Norway vs France,Boston,2026-05-14 11:31:37
62,Group I,Senegal vs Iraq,Toronto,2026-05-14 11:31:37
63,Group G,Egypt vs IR Iran,Seattle,2026-05-14 11:31:37
64,Group G,New Zealand vs Belgium,Vancouver,2026-05-14 11:31:37
65,Group H,Cabo Verde vs Saudi Arabia,Houston,2026-05-14 11:31:37
66,Group H,Uruguay vs Spain,Guadalajara,2026-05-14 11:31:37
