id,group_name,team_id,played,wins,draws,losses,goals_for,goals_against,points,updated_at
1,,3,0,0,0,0,0,0,0,2026-05-14 12:08:06
2,,12,0,0,0,0,0,0,0,2026-05-14 12:08:06
3,,13,0,0,0,0,0,0,0,2026-05-14 12:08:06
4,,14,0,0,0,0,0,0,0,2026-05-14 12:08:06
5,,2,0,0,0,0,0,0,0,2026-05-14 12:08:06
7,,24,0,0,0,0,0,0,0,2026-05-14 12:08:06
8,,17,0,0,0,0,0,0,0,2026-05-14 12:08:06
9,,16,0,0,0,0,0,0,0,2026-05-14 12:08:06
10,,19,0,0,0,0,0,0,0,2026-05-14 12:08:06
11,,20,0,0,0,0,0,0,0,2026-05-14 12:08:06
12,,21,0,0,0,0,0,0,0,2026-05-14 12:08:06
13,,22,0,0,0,0,0,0,0,2026-05-14 12:08:06
14,,25,0,0,0,0,0,0,0,2026-05-14 12:08:06
15,,27,0,0,0,0,0,0,0,2026-05-14 12:08:06
16,,3175,0,0,0,0,0,0,0,2026-05-14 12:08:06
17,,31,0,0,0,0,0,0,0,2026-05-14 12:08:06
18,,32,0,0,0,0,0,0,0,2026-05-14 12:08:06
19,,30,0,0,0,0,0,0,0,2026-05-14 12:08:06
20,,33,0,0,0,0,0,0,0,2026-05-14 12:08:06
21,,34,0,0,0,0,0,0,0,2026-05-14 12:08:06
22,,39,0,0,0,0,0,0,0,2026-05-14 12:08:06
24,,35,0,0,0,0,0,0,0,2026-05-14 12:08:06
25,,36,0,0,0,0,0,0,0,2026-05-14 12:08:06
26,,41,0,0,0,0,0,0,0,2026-05-14 12:08:06
27,,42,0,0,0,0,0,0,0,2026-05-14 12:08:06
28,,38,0,0,0,0,0,0,0,2026-05-14 12:08:06
29,,43,0,0,0,0,0,0,0,2026-05-14 12:08:06
30,,44,0,0,0,0,0,0,0,2026-05-14 12:08:06
31,,46,0,0,0,0,0,0,0,2026-05-14 12:08:06
32,,45,0,0,0,0,0,0,0,2026-05-14 12:08:06
33,,47,0,0,0,0,0,0,0,2026-05-14 12:08:06
34,,48,0,0,0,0,0,0,0,2026-05-14 12:08:06
35,,49,0,0,0,0,0,0,0,2026-05-14 12:08:06
36,,50,0,0,0,0,0,0,0,2026-05-14 12:08:06
37,,51,0,0,0,0,0,0,0,2026-05-14 12:08:06
38,,52,0,0,0,0,0,0,0,2026-05-14 12:08:06
39,,55,0,0,0,0,0,0,0,2026-05-14 12:08:06
40,,56,0,0,0,0,0,0,0,2026-05-14 12:08:06
41,,57,0,0,0,0,0,0,0,2026-05-14 12:08:06
42,,58,0,0,0,0,0,0,0,2026-05-14 12:08:06
43,,53,0,0,0,0,0,0,0,2026-05-14 12:08:06
44,,54,0,0,0,0,0,0,0,2026-05-14 12:08:06
138,,18,0,0,0,0,0,0,0,2026-05-14 12:08:06
139,,3144,0,0,0,0,0,0,0,2026-05-14 12:08:06
156,,40,0,0,0,0,0,0,0,2026-05-14 12:08:06
