id,stadium_name,city,country,capacity,latitude,longitude,map_link,notes,created_at,updated_at
1,Estadio Azteca,Mexico City,Mexico,,,,,,2026-05-03 03:55:01,2026-05-03 03:55:01
2,Mexico City,Mexico City,,,,,,,2026-05-14 12:06:25,2026-05-14 12:08:03
3,Guadalajara,Guadalajara,,,,,,,2026-05-14 12:06:25,2026-05-14 12:08:03
4,Toronto,Toronto,,,,,,,2026-05-14 12:06:25,2026-05-14 12:08:03
5,Los Angeles,Los Angeles,,,,,,,2026-05-14 12:06:25,2026-05-14 12:08:03
6,San Francisco Bay Area,San Francisco Bay Area,,,,,,,2026-05-14 12:06:25,2026-05-14 12:08:03
7,New York New Jersey,New York New Jersey,,,,,,,2026-05-14 12:06:25,2026-05-14 12:08:03
8,Boston,Boston,,,,,,,2026-05-14 12:06:25,2026-05-14 12:08:03
9,Vancouver,Vancouver,,,,,,,2026-05-14 12:06:25,2026-05-14 12:08:03
10,Houston,Houston,,,,,,,2026-05-14 12:06:25,2026-05-14 12:08:03
11,Dallas,Dallas,,,,,,,2026-05-14 12:06:25,2026-05-14 12:08:03
12,Philadelphia,Philadelphia,,,,,,,2026-05-14 12:06:25,2026-05-14 12:08:03
13,Monterrey,Monterrey,,,,,,,2026-05-14 12:06:25,2026-05-14 12:08:03
14,Miami,Miami,,,,,,,2026-05-14 12:06:25,2026-05-14 12:08:03
15,Seattle,Seattle,,,,,,,2026-05-14 12:06:25,2026-05-14 12:08:03
16,Atlanta,Atlanta,,,,,,,2026-05-14 12:06:25,2026-05-14 12:08:03
20,Kansas City,Kansas City,,,,,,,2026-05-14 12:06:25,2026-05-14 12:08:03
