team_id,team_name,fifa_code,flag_code,confederation_id,is_fifa_member,fifa_rank,rank_snapshot_date,rank_note,final_status,qualified_for_world_cup,qualification_or_elimination_summary,eliminated_round,last_updated,source_name,source_url
JPN,Japan,JPN,JP,AFC,TRUE,20,2023-07-20,"July 2023 FIFA ranking used for AFC qualification draw/seedings, not a live/current rank.",qualified,TRUE,Third round Group C winner,,2026-05-16,Wikipedia AFC qualification page,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)
IRN,Iran,IRN,IR,AFC,TRUE,22,2023-07-20,"July 2023 FIFA ranking used for AFC qualification draw/seedings, not a live/current rank.",qualified,TRUE,Third round Group A winner,,2026-05-16,Wikipedia AFC qualification page,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)
AUS,Australia,AUS,AU,AFC,TRUE,27,2023-07-20,"July 2023 FIFA ranking used for AFC qualification draw/seedings, not a live/current rank.",qualified,TRUE,Third round Group C runner-up,,2026-05-16,Wikipedia AFC qualification page,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)
KOR,South Korea,KOR,KR,AFC,TRUE,28,2023-07-20,"July 2023 FIFA ranking used for AFC qualification draw/seedings, not a live/current rank.",qualified,TRUE,Third round Group B winner,,2026-05-16,Wikipedia AFC qualification page,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)
KSA,Saudi Arabia,KSA,SA,AFC,TRUE,54,2023-07-20,"July 2023 FIFA ranking used for AFC qualification draw/seedings, not a live/current rank.",qualified,TRUE,Fourth round Group B winner,,2026-05-16,Wikipedia AFC qualification page,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)
QAT,Qatar,QAT,QA,AFC,TRUE,59,2023-07-20,"July 2023 FIFA ranking used for AFC qualification draw/seedings, not a live/current rank.",qualified,TRUE,Fourth round Group A winner,,2026-05-16,Wikipedia AFC qualification page,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)
IRQ,Iraq,IRQ,IQ,AFC,TRUE,70,2023-07-20,"July 2023 FIFA ranking used for AFC qualification draw/seedings, not a live/current rank.",qualified,TRUE,Inter-confederation playoff Pathway 2 winner,,2026-05-16,Wikipedia AFC qualification page,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)
UAE,United Arab Emirates,UAE,AE,AFC,TRUE,72,2023-07-20,"July 2023 FIFA ranking used for AFC qualification draw/seedings, not a live/current rank.",eliminated,FALSE,Lost AFC fifth round two-leg playoff to Iraq,Round 5,2026-05-16,Wikipedia AFC qualification page,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)
OMA,Oman,OMA,OM,AFC,TRUE,73,2023-07-20,"July 2023 FIFA ranking used for AFC qualification draw/seedings, not a live/current rank.",eliminated,FALSE,Finished 3rd in AFC fourth round group,Round 4,2026-05-16,Wikipedia AFC qualification page,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)
UZB,Uzbekistan,UZB,UZ,AFC,TRUE,74,2023-07-20,"July 2023 FIFA ranking used for AFC qualification draw/seedings, not a live/current rank.",qualified,TRUE,Third round Group A runner-up,,2026-05-16,Wikipedia AFC qualification page,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)
CHN,China,CHN,CN,AFC,TRUE,80,2023-07-20,"July 2023 FIFA ranking used for AFC qualification draw/seedings, not a live/current rank.",eliminated,FALSE,Finished 5th/6th in AFC third round group,Round 3,2026-05-16,Wikipedia AFC qualification page,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)
JOR,Jordan,JOR,JO,AFC,TRUE,82,2023-07-20,"July 2023 FIFA ranking used for AFC qualification draw/seedings, not a live/current rank.",qualified,TRUE,Third round Group B runner-up,,2026-05-16,Wikipedia AFC qualification page,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)
BHR,Bahrain,BHR,BH,AFC,TRUE,86,2023-07-20,"July 2023 FIFA ranking used for AFC qualification draw/seedings, not a live/current rank.",eliminated,FALSE,Finished 5th/6th in AFC third round group,Round 3,2026-05-16,Wikipedia AFC qualification page,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)
SYR,Syria,SYR,SY,AFC,TRUE,94,2023-07-20,"July 2023 FIFA ranking used for AFC qualification draw/seedings, not a live/current rank.",eliminated,FALSE,Finished outside top two in AFC second round group,Round 2,2026-05-16,Wikipedia AFC qualification page,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)
