team_id,team_name,fifa_code,flag_code,confederation_id,fifa_rank,rank_snapshot_date,final_status,qualified_for_world_cup,final_stage_reached,qualification_or_elimination_summary,source_name,source_url
caf_mar,Morocco,MAR,MA,CAF,13,2023-06-30,qualified,TRUE,Group E winners,Qualified directly as Group E winners on 5 September 2025.,Wikipedia draw pots / FIFA standings,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)
caf_sen,Senegal,SEN,SN,CAF,18,2023-06-30,qualified,TRUE,Group B winners,Qualified directly as Group B winners on 14 October 2025.,Wikipedia draw pots / FIFA standings,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)
caf_tun,Tunisia,TUN,TN,CAF,31,2023-06-30,qualified,TRUE,Group H winners,Qualified directly as Group H winners on 8 September 2025.,Wikipedia draw pots / FIFA standings,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)
caf_alg,Algeria,ALG,DZ,CAF,33,2023-06-30,qualified,TRUE,Group G winners,Qualified directly as Group G winners on 9 October 2025.,Wikipedia draw pots / FIFA standings,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)
caf_egy,Egypt,EGY,EG,CAF,34,2023-06-30,qualified,TRUE,Group A winners,Qualified directly as Group A winners on 8 October 2025.,Wikipedia draw pots / FIFA standings,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)
caf_nga,Nigeria,NGA,NG,CAF,39,2023-06-30,eliminated,FALSE,CAF playoff final,Reached the CAF second-round playoff final; lost to DR Congo on penalties.,Wikipedia draw pots / FIFA standings,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)
caf_cmr,Cameroon,CMR,CM,CAF,43,2023-06-30,eliminated,FALSE,CAF playoff semi-final,Advanced as one of the four best runners-up; lost 1-0 to DR Congo in the CAF playoff semi-final.,Wikipedia draw pots / FIFA standings,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)
caf_mli,Mali,MLI,ML,CAF,50,2023-06-30,eliminated,FALSE,First round Group I,Finished third in Group I and was eliminated.,Wikipedia draw pots / FIFA standings,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)
caf_civ,Ivory Coast,CIV,CI,CAF,51,2023-06-30,qualified,TRUE,Group F winners,Qualified directly as Group F winners on 14 October 2025.,Wikipedia draw pots / FIFA standings,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)
caf_bfa,Burkina Faso,BFA,BF,CAF,55,2023-06-30,eliminated,FALSE,Runners-up ranking,"Finished second in Group A but fifth in runners-up ranking, missing the CAF playoff.",Wikipedia draw pots / FIFA standings,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)
caf_gha,Ghana,GHA,GH,CAF,59,2023-06-30,qualified,TRUE,Group I winners,Qualified directly as Group I winners on 12 October 2025.,Wikipedia draw pots / FIFA standings,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)
caf_rsa,South Africa,RSA,ZA,CAF,62,2023-06-30,qualified,TRUE,Group C winners,Qualified directly as Group C winners on 14 October 2025.,Wikipedia draw pots / FIFA standings,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)
caf_cpv,Cape Verde,CPV,CV,CAF,66,2023-06-30,qualified,TRUE,Group D winners,Qualified directly as Group D winners on 13 October 2025.,Wikipedia draw pots / FIFA standings,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)
caf_cod,DR Congo,COD,CD,CAF,69,2023-06-30,qualified,TRUE,Inter-confederation playoffs,"Finished second in Group B, won the CAF playoff, then qualified via the inter-confederation playoff.",Wikipedia draw pots / FIFA standings,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)
caf_gui,Guinea,GUI,GN,CAF,80,2023-06-30,eliminated,FALSE,First round Group G,Finished fourth in Group G and was eliminated.,Wikipedia draw pots / FIFA standings,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)
caf_zam,Zambia,ZAM,ZM,CAF,84,2023-06-30,eliminated,FALSE,First round Group E,Finished fourth in Group E and was eliminated.,Wikipedia draw pots / FIFA standings,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)
caf_gab,Gabon,GAB,GA,CAF,85,2023-06-30,eliminated,FALSE,CAF playoff semi-final,Advanced as the top-ranked runner-up; lost 4-1 after extra time to Nigeria in the CAF playoff semi-final.,Wikipedia draw pots / FIFA standings,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)
caf_eqg,Equatorial Guinea,EQG,GQ,CAF,91,2023-06-30,eliminated,FALSE,First round Group H,Finished fifth in Group H after forfeits and was eliminated.,Wikipedia draw pots / FIFA standings,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)
caf_uga,Uganda,UGA,UG,CAF,92,2023-06-30,eliminated,FALSE,Runners-up ranking,"Finished second in Group G but eighth in runners-up ranking, missing the CAF playoff.",Wikipedia draw pots / FIFA standings,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)
caf_ben,Benin,BEN,BJ,CAF,93,2023-06-30,eliminated,FALSE,First round Group C,Finished third in Group C and was eliminated.,Wikipedia draw pots / FIFA standings,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)
caf_mtn,Mauritania,MTN,MR,CAF,99,2023-06-30,eliminated,FALSE,First round Group B,Finished fifth in Group B and was eliminated.,Wikipedia draw pots / FIFA standings,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)
