team_id,team_name,fifa_code,flag_code,confederation_id,fifa_rank,rank_snapshot_date,final_status,qualified_for_world_cup,final_position,qualification_method,elimination_method,summary,source_name,source_url
ARG,Argentina,ARG,AR,CONMEBOL,1,2023-07-20,qualified,TRUE,1,CONMEBOL winners,,Argentina finished 1 in the CONMEBOL league table with 38 points. CONMEBOL winners.,Wikipedia,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CONMEBOL)
ECU,Ecuador,ECU,EC,CONMEBOL,40,2023-07-20,qualified,TRUE,2,CONMEBOL runners-up,,Ecuador finished 2 in the CONMEBOL league table with 29 points. CONMEBOL runners-up.,Wikipedia,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CONMEBOL)
COL,Colombia,COL,CO,CONMEBOL,17,2023-07-20,qualified,TRUE,3,CONMEBOL third place,,Colombia finished 3 in the CONMEBOL league table with 28 points. CONMEBOL third place.,Wikipedia,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CONMEBOL)
URU,Uruguay,URU,UY,CONMEBOL,16,2023-07-20,qualified,TRUE,4,CONMEBOL fourth place,,Uruguay finished 4 in the CONMEBOL league table with 28 points. CONMEBOL fourth place.,Wikipedia,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CONMEBOL)
BRA,Brazil,BRA,BR,CONMEBOL,3,2023-07-20,qualified,TRUE,5,CONMEBOL fifth place,,Brazil finished 5 in the CONMEBOL league table with 28 points. CONMEBOL fifth place.,Wikipedia,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CONMEBOL)
PAR,Paraguay,PAR,PY,CONMEBOL,49,2023-07-20,qualified,TRUE,6,CONMEBOL sixth place,,Paraguay finished 6 in the CONMEBOL league table with 28 points. CONMEBOL sixth place.,Wikipedia,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CONMEBOL)
BOL,Bolivia,BOL,BO,CONMEBOL,83,2023-07-20,playoff_loss,FALSE,7,,CONMEBOL seventh place; lost inter-confederation playoff final to Iraq,Bolivia finished 7 in the CONMEBOL league table with 20 points. CONMEBOL seventh place; lost inter-confederation playoff final to Iraq.,Wikipedia,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CONMEBOL)
VEN,Venezuela,VEN,VE,CONMEBOL,57,2023-07-20,eliminated,FALSE,8,,CONMEBOL eighth place,Venezuela finished 8 in the CONMEBOL league table with 18 points. CONMEBOL eighth place.,Wikipedia,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CONMEBOL)
PER,Peru,PER,PE,CONMEBOL,21,2023-07-20,eliminated,FALSE,9,,CONMEBOL ninth place,Peru finished 9 in the CONMEBOL league table with 12 points. CONMEBOL ninth place.,Wikipedia,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CONMEBOL)
CHI,Chile,CHI,CL,CONMEBOL,32,2023-07-20,eliminated,FALSE,10,,CONMEBOL tenth place,Chile finished 10 in the CONMEBOL league table with 11 points. CONMEBOL tenth place.,Wikipedia,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CONMEBOL)
