"elimination_id","confederation_id","round_id","team_id","team_name","fifa_code","flag_code","fifa_rank","rank_snapshot_date","elimination_reason","final_position","notes","source_name","source_url"
"AFC_R1_MNG","AFC","AFC_R1","MNG","Mongolia","MNG","MN","183","2023-07-20","Lost first round two-leg playoff","","","Wikipedia AFC qualification page","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)"
"AFC_R1_MDV","AFC","AFC_R1","MDV","Maldives","MDV","MV","155","2023-07-20","Lost first round two-leg playoff","","","Wikipedia AFC qualification page","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)"
"AFC_R1_GUM","AFC","AFC_R1","GUM","Guam","GUM","GU","203","2023-07-20","Lost first round two-leg playoff","","","Wikipedia AFC qualification page","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)"
"AFC_R1_SRI","AFC","AFC_R1","SRI","Sri Lanka","SRI","LK","204","2023-07-20","Lost first round two-leg playoff","","","Wikipedia AFC qualification page","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)"
"AFC_R1_MAC","AFC","AFC_R1","MAC","Macau","MAC","MO","182","2023-07-20","Lost first round two-leg playoff","","","Wikipedia AFC qualification page","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)"
"AFC_R1_CAM","AFC","AFC_R1","CAM","Cambodia","CAM","KH","176","2023-07-20","Lost first round two-leg playoff","","","Wikipedia AFC qualification page","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)"
"AFC_R1_TLS","AFC","AFC_R1","TLS","Timor-Leste","TLS","TL","192","2023-07-20","Lost first round two-leg playoff","","","Wikipedia AFC qualification page","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)"
"AFC_R1_BRU","AFC","AFC_R1","BRU","Brunei","BRU","BN","190","2023-07-20","Lost first round two-leg playoff","","","Wikipedia AFC qualification page","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)"
"AFC_R1_BHU","AFC","AFC_R1","BHU","Bhutan","BHU","BT","185","2023-07-20","Lost first round two-leg playoff","","","Wikipedia AFC qualification page","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)"
"AFC_R1_LAO","AFC","AFC_R1","LAO","Laos","LAO","LA","187","2023-07-20","Lost first round two-leg playoff","","","Wikipedia AFC qualification page","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)"
