"group_id","round_id","confederation_id","group_name","group_order","notes"
"AFC_R2_GA","AFC_R2","AFC","Group A","1",""
"AFC_R2_GB","AFC_R2","AFC","Group B","2",""
"AFC_R2_GC","AFC_R2","AFC","Group C","3",""
"AFC_R2_GD","AFC_R2","AFC","Group D","4",""
"AFC_R2_GE","AFC_R2","AFC","Group E","5",""
"AFC_R2_GF","AFC_R2","AFC","Group F","6",""
"AFC_R2_GG","AFC_R2","AFC","Group G","7",""
"AFC_R2_GH","AFC_R2","AFC","Group H","8",""
"AFC_R2_GI","AFC_R2","AFC","Group I","9",""
"AFC_R3_GA","AFC_R3","AFC","Group A","1",""
"AFC_R3_GB","AFC_R3","AFC","Group B","2",""
"AFC_R3_GC","AFC_R3","AFC","Group C","3",""
"AFC_R4_GA","AFC_R4","AFC","Group A","1",""
"AFC_R4_GB","AFC_R4","AFC","Group B","2",""
"caf_r1_group_a","caf_2026_first_round","CAF","Group A","1","Home-and-away round-robin group in CAF first round."
"caf_r1_group_b","caf_2026_first_round","CAF","Group B","2","Home-and-away round-robin group in CAF first round."
"caf_r1_group_c","caf_2026_first_round","CAF","Group C","3","Home-and-away round-robin group in CAF first round."
"caf_r1_group_d","caf_2026_first_round","CAF","Group D","4","Home-and-away round-robin group in CAF first round."
"caf_r1_group_e","caf_2026_first_round","CAF","Group E","5","Home-and-away round-robin group in CAF first round."
"caf_r1_group_f","caf_2026_first_round","CAF","Group F","6","Home-and-away round-robin group in CAF first round."
"caf_r1_group_g","caf_2026_first_round","CAF","Group G","7","Home-and-away round-robin group in CAF first round."
"caf_r1_group_h","caf_2026_first_round","CAF","Group H","8","Home-and-away round-robin group in CAF first round."
"caf_r1_group_i","caf_2026_first_round","CAF","Group I","9","Home-and-away round-robin group in CAF first round."
"CONCACAF_R2_GA","CONCACAF_R2","CONCACAF","Group A","1",""
"CONCACAF_R2_GB","CONCACAF_R2","CONCACAF","Group B","2",""
"CONCACAF_R2_GC","CONCACAF_R2","CONCACAF","Group C","3",""
"CONCACAF_R2_GD","CONCACAF_R2","CONCACAF","Group D","4",""
"CONCACAF_R2_GE","CONCACAF_R2","CONCACAF","Group E","5",""
"CONCACAF_R2_GF","CONCACAF_R2","CONCACAF","Group F","6",""
"CONCACAF_R3_GA","CONCACAF_R3","CONCACAF","Group A","1",""
"CONCACAF_R3_GB","CONCACAF_R3","CONCACAF","Group B","2",""
"CONCACAF_R3_GC","CONCACAF_R3","CONCACAF","Group C","3",""
"CONCACAF_R3_RUNNER_UPS","CONCACAF_R3","CONCACAF","Ranking of second-placed teams","4","Top two runners-up advanced to inter-confederation play-offs."
"CONMEBOL_TABLE","CONMEBOL_R1","CONMEBOL","CONMEBOL League Table","1","All 10 CONMEBOL teams in one table."
"ofc_r2_a","ofc_r2","OFC","Group A","1","Top two advanced to Third Round."
"ofc_r2_b","ofc_r2","OFC","Group B","2","Top two advanced to Third Round."
"UEFA_GRP_A","UEFA_R1","UEFA","Group A","1","Four-team group"
"UEFA_GRP_B","UEFA_R1","UEFA","Group B","2","Four-team group"
"UEFA_GRP_C","UEFA_R1","UEFA","Group C","3","Four-team group"
"UEFA_GRP_D","UEFA_R1","UEFA","Group D","4","Four-team group"
"UEFA_GRP_E","UEFA_R1","UEFA","Group E","5","Four-team group"
"UEFA_GRP_F","UEFA_R1","UEFA","Group F","6","Four-team group"
"UEFA_GRP_G","UEFA_R1","UEFA","Group G","7","Five-team group"
"UEFA_GRP_H","UEFA_R1","UEFA","Group H","8","Five-team group"
"UEFA_GRP_I","UEFA_R1","UEFA","Group I","9","Five-team group"
"UEFA_GRP_J","UEFA_R1","UEFA","Group J","10","Five-team group"
"UEFA_GRP_K","UEFA_R1","UEFA","Group K","11","Five-team group"
"UEFA_GRP_L","UEFA_R1","UEFA","Group L","12","Five-team group"
