"match_id","round_id","confederation_id","group_id","bracket_id","match_order","date","home_team_id","home_team_name","home_fifa_code","home_flag_code","home_fifa_rank","away_team_id","away_team_name","away_fifa_code","away_flag_code","away_fifa_rank","home_score","away_score","extra_time","penalties","winning_team_id","result_notes","result","notes","source_name","source_url","venue","stage"
"AFC_R4_M01","AFC_R4","AFC","AFC_R4_GA","","","2025-10-08","OMA","Oman","OMA","OM","73","QAT","Qatar","QAT","QA","59","0","0","","","","Oman 0-0 Qatar","draw","Oman 0-0 Qatar","Wikipedia/Reuters","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)","",""
"AFC_R4_M02","AFC_R4","AFC","AFC_R4_GA","","","2025-10-11","UAE","United Arab Emirates","UAE","AE","72","OMA","Oman","OMA","OM","73","2","1","","","","United Arab Emirates 2-1 Oman","home_win","United Arab Emirates 2-1 Oman","Wikipedia/Reuters","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)","",""
"AFC_R4_M03","AFC_R4","AFC","AFC_R4_GA","","","2025-10-14","QAT","Qatar","QAT","QA","59","UAE","United Arab Emirates","UAE","AE","72","2","1","","","","Qatar 2-1 United Arab Emirates; Qatar qualified","home_win","Qatar 2-1 United Arab Emirates; Qatar qualified","Wikipedia/Reuters","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)","",""
"AFC_R4_M04","AFC_R4","AFC","AFC_R4_GB","","","2025-10-08","KSA","Saudi Arabia","KSA","SA","54","IDN","Indonesia","IDN","ID","150","3","2","","","","Saudi Arabia 3-2 Indonesia","home_win","Saudi Arabia 3-2 Indonesia","Wikipedia/Reuters","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)","",""
"AFC_R4_M05","AFC_R4","AFC","AFC_R4_GB","","","2025-10-11","IRQ","Iraq","IRQ","IQ","70","IDN","Indonesia","IDN","ID","150","1","0","","","","Iraq 1-0 Indonesia","home_win","Iraq 1-0 Indonesia","Wikipedia/Reuters","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)","",""
"AFC_R4_M06","AFC_R4","AFC","AFC_R4_GB","","","2025-10-14","KSA","Saudi Arabia","KSA","SA","54","IRQ","Iraq","IRQ","IQ","70","0","0","","","","Saudi Arabia 0-0 Iraq; Saudi Arabia qualified","draw","Saudi Arabia 0-0 Iraq; Saudi Arabia qualified","Wikipedia/Reuters","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)","",""
"AFC_ICPO_M01","AFC_ICPO","AFC","","","","2026-03-31","IRQ","Iraq","IRQ","IQ","70","BOL","Bolivia","BOL","BO","","2","1","","","","Iraq defeated Bolivia 2-1 and qualified for the World Cup","home_win","Iraq defeated Bolivia 2-1 and qualified for the World Cup","Wikipedia/Reuters","https://www.reuters.com/sports/soccer/iraq-qualify-world-cup-with-win-over-bolivia-2026-04-01/","",""
"caf_r1_m001","caf_2026_first_round","CAF","caf_r1_group_a","","1","","caf_egy","Egypt","EGY","EG","34","caf_bfa","Burkina Faso","BFA","BF","55","2","1","FALSE","","caf_egy","Group-stage fixture listed in source score matrix; exact match date not included in this data pack.","home_win","","Wikipedia score matrix","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","",""
"caf_r1_m002","caf_2026_first_round","CAF","caf_r1_group_a","","2","","caf_egy","Egypt","EGY","EG","34","caf_sle","Sierra Leone","SLE","SL","120","1","0","FALSE","","caf_egy","Group-stage fixture listed in source score matrix; exact match date not included in this data pack.","home_win","","Wikipedia score matrix","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","",""
"caf_r1_m003","caf_2026_first_round","CAF","caf_r1_group_a","","3","","caf_egy","Egypt","EGY","EG","34","caf_gnb","Guinea-Bissau","GNB","GW","111","1","0","FALSE","","caf_egy","Group-stage fixture listed in source score matrix; exact match date not included in this data pack.","home_win","","Wikipedia score matrix","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","",""
