team_id,team_name,fifa_code,confederation_id,flag_code,fifa_rank,rank_snapshot_date,final_status,qualified_for_world_cup,final_stage_reached,qualification_method,elimination_method,summary,last_updated,source_name,source_url
ofc_asa,American Samoa,ASA,OFC,AS,187,2024-07-18,eliminated,FALSE,Round One semifinal,,Lost 0-2 to Samoa in Round One semifinal,Entered Round One and was eliminated by Samoa in the first knockout match.,2026-05-16,OFC / Wikipedia,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(OFC)
ofc_cok,Cook Islands,COK,OFC,CK,186,2024-07-18,eliminated,FALSE,Round One semifinal,,Lost 1-3 to Tonga in Round One semifinal,Entered Round One and was eliminated by Tonga in the first knockout match.,2026-05-16,OFC / Wikipedia,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(OFC)
ofc_fij,Fiji,FIJ,OFC,FJ,153,2024-07-18,eliminated,FALSE,Third Round semifinal,,Lost 0-7 to New Zealand in Third Round semifinal,"Advanced from Round Two Group A as runner-up, then lost to New Zealand in the Third Round semifinal.",2026-05-16,OFC / Wikipedia,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(OFC)
ofc_ncl,New Caledonia,NCL,OFC,NC,160,2024-07-18,inter_confederation_playoff_loss,FALSE,Inter-confederation playoff semifinal,,Lost 0-1 to Jamaica in the FIFA World Cup 2026 Play-Off Tournament semifinal,"Won Round Two Group A, beat Tahiti in the Third Round semifinal, lost the OFC final to New Zealand, then lost to Jamaica in the inter-confederation playoff semifinal.",2026-05-16,OFC / Wikipedia,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(OFC)
ofc_nzl,New Zealand,NZL,OFC,NZ,94,2024-07-18,qualified,TRUE,Third Round final,OFC Third Round winner,,"Won Round Two Group B, beat Fiji in the Third Round semifinal, then beat New Caledonia 3-0 in the OFC final to qualify directly for the 2026 World Cup.",2026-05-16,OFC / Wikipedia,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(OFC)
ofc_png,Papua New Guinea,PNG,OFC,PG,168,2024-07-18,eliminated,FALSE,Round Two Group A,,Finished 4th in Round Two Group A,Entered Round Two directly but finished fourth in Group A and was eliminated.,2026-05-16,OFC / Wikipedia,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(OFC)
ofc_sam,Samoa,SAM,OFC,WS,192,2024-07-18,eliminated,FALSE,Round Two Group B,,Finished 4th in Round Two Group B,"Won Round One to enter Round Two, then finished fourth in Group B and was eliminated.",2026-05-16,OFC / Wikipedia,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(OFC)
ofc_sol,Solomon Islands,SOL,OFC,SB,141,2024-07-18,eliminated,FALSE,Round Two Group A,,Finished 3rd in Round Two Group A,Entered Round Two directly but finished third in Group A and was eliminated.,2026-05-16,OFC / Wikipedia,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(OFC)
ofc_tah,Tahiti,TAH,OFC,PF,158,2024-07-18,eliminated,FALSE,Third Round semifinal,,Lost 0-3 to New Caledonia in Third Round semifinal,"Advanced from Round Two Group B as runner-up, then lost to New Caledonia in the Third Round semifinal.",2026-05-16,OFC / Wikipedia,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(OFC)
ofc_tga,Tonga,TGA,OFC,TO,200,2024-07-18,eliminated,FALSE,Round One final,,Lost 1-2 after extra time to Samoa in Round One final,"Beat Cook Islands in the Round One semifinal, then lost to Samoa after extra time in the Round One final.",2026-05-16,OFC / Wikipedia,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(OFC)
ofc_van,Vanuatu,VAN,OFC,VU,162,2024-07-18,eliminated,FALSE,Round Two Group B,,Finished 3rd in Round Two Group B,Entered Round Two directly but finished third in Group B and was eliminated.,2026-05-16,OFC / Wikipedia,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(OFC)
