"tie_id","round_id","confederation_id","round_name","team1_id","team1_name","team1_fifa_code","team1_flag_code","team1_fifa_rank","team2_id","team2_name","team2_fifa_code","team2_flag_code","team2_fifa_rank","aggregate_score","leg1_score_team1_first","leg2_score_team1_first","winner_team_id","loser_team_id","notes","source_name","source_url","bracket_id","stage","date","team_1_id","team_1_name","team_1_fifa_code","team_1_score","team_2_id","team_2_name","team_2_fifa_code","team_2_score","extra_time","penalties","winner_team_name","loser_team_name","winner_advances_to","loser_eliminated","tie_name","penalty_score","winner_advances_to_round_id","path","home_team_id","home_team_name","away_team_id","away_team_name","home_score","away_score","qualified_for_world_cup"
"AFC_R1_T01","AFC_R1","AFC","First Round","AFG","Afghanistan","AFG","AF","157","MNG","Mongolia","MNG","MN","183","2-0","1-0","1-0","AFG","MNG","Afghanistan advanced to Round 2","Wikipedia AFC qualification page","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AFC_R1_T02","AFC_R1","AFC","First Round","MDV","Maldives","MDV","MV","155","BAN","Bangladesh","BAN","BD","189","2-3","1-1","1-2","BAN","MDV","Bangladesh advanced to Round 2","Wikipedia AFC qualification page","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AFC_R1_T03","AFC_R1","AFC","First Round","SIN","Singapore","SIN","SG","158","GUM","Guam","GUM","GU","203","3-1","2-1","1-0","SIN","GUM","Singapore advanced to Round 2","Wikipedia AFC qualification page","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AFC_R1_T04","AFC_R1","AFC","First Round","YEM","Yemen","YEM","YE","156","SRI","Sri Lanka","SRI","LK","204","4-1","3-0","1-1","YEM","SRI","Yemen advanced to Round 2","Wikipedia AFC qualification page","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AFC_R1_T05","AFC_R1","AFC","First Round","MYA","Myanmar","MYA","MM","160","MAC","Macau","MAC","MO","182","5-1","5-1","0-0","MYA","MAC","Myanmar advanced to Round 2","Wikipedia AFC qualification page","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AFC_R1_T06","AFC_R1","AFC","First Round","CAM","Cambodia","CAM","KH","176","PAK","Pakistan","PAK","PK","201","0-1","0-0","0-1","PAK","CAM","Pakistan advanced to Round 2","Wikipedia AFC qualification page","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AFC_R1_T07","AFC_R1","AFC","First Round","TPE","Chinese Taipei","TPE","TW","153","TLS","Timor-Leste","TLS","TL","192","7-0","4-0","3-0","TPE","TLS","Chinese Taipei advanced to Round 2","Wikipedia AFC qualification page","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AFC_R1_T08","AFC_R1","AFC","First Round","IDN","Indonesia","IDN","ID","150","BRU","Brunei","BRU","BN","190","12-0","6-0","6-0","IDN","BRU","Indonesia advanced to Round 2","Wikipedia AFC qualification page","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AFC_R1_T09","AFC_R1","AFC","First Round","HKG","Hong Kong","HKG","HK","149","BHU","Bhutan","BHU","BT","185","4-2","4-0","0-2","HKG","BHU","Hong Kong advanced to Round 2","Wikipedia AFC qualification page","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AFC_R1_T10","AFC_R1","AFC","First Round","NEP","Nepal","NEP","NP","175","LAO","Laos","LAO","LA","187","2-1","1-1","1-0","NEP","LAO","Nepal advanced to Round 2","Wikipedia AFC qualification page","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AFC_R5_T01","AFC_R5","AFC","Fifth Round","UAE","United Arab Emirates","UAE","AE","72","IRQ","Iraq","IRQ","IQ","70","2-3","1-1","1-2","IRQ","UAE","Iraq advanced to the inter-confederation playoff","Wikipedia AFC qualification page","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"caf_po_sf1","caf_2026_second_round","CAF","","","","","","","","","","","","","","","caf_nga","caf_gab","Nigeria advanced to CAF playoff final.","Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","caf_second_round_bracket","Semi-final","2025-11-13","caf_nga","Nigeria","NGA","4","caf_gab","Gabon","GAB","1","TRUE","","Nigeria","Gabon","caf_po_final","TRUE","","","","","","","","","","",""
"caf_po_sf2","caf_2026_second_round","CAF","","","","","","","","","","","","","","","caf_cod","caf_cmr","DR Congo advanced to CAF playoff final.","Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","caf_second_round_bracket","Semi-final","2025-11-13","caf_cmr","Cameroon","CMR","0","caf_cod","DR Congo","COD","1","FALSE","","DR Congo","Cameroon","caf_po_final","TRUE","","","","","","","","","","",""
"caf_po_final","caf_2026_second_round","CAF","","","","","","","","","","","","","","","caf_cod","caf_nga","DR Congo won on penalties and advanced to the inter-confederation playoffs.","Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","caf_second_round_bracket","Final","2025-11-16","caf_nga","Nigeria","NGA","1","caf_cod","DR Congo","COD","1","TRUE","3-4","DR Congo","Nigeria","caf_2026_interconfed_playoff","TRUE","","","","","","","","","","",""
"caf_icp_final","caf_2026_interconfed_playoff","CAF","","","","","","","","","","","","","","","caf_cod","ext_jam","DR Congo qualified for the World Cup by winning this inter-confederation playoff pathway.","Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)","interconfed_pathway_1","Final","2026-03-31","caf_cod","DR Congo","COD","1","ext_jam","Jamaica","JAM","0","TRUE","","DR Congo","Jamaica","2026 FIFA World Cup","TRUE","","","","","","","","","","",""
"CONCACAF_R1_TIE1","CONCACAF_R1","CONCACAF","","AIA","Anguilla","","","","TCA","Turks and Caicos Islands","","","","1-1","","","AIA","TCA","Anguilla advanced to Second Round Group F on penalties.","","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_%E2%80%93_CONCACAF_first_round","","","","","","","","","","","","","","Anguilla","Turks and Caicos Islands","","True","Anguilla vs Turks and Caicos Islands","4-3","CONCACAF_R2","","","","","","","",""
"CONCACAF_R1_TIE2","CONCACAF_R1","CONCACAF","","VIR","U.S. Virgin Islands","","","","VGB","British Virgin Islands","","","","1-1","","","VGB","VIR","British Virgin Islands advanced to Second Round Group E on penalties.","","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_%E2%80%93_CONCACAF_first_round","","","","","","","","","","","","","","British Virgin Islands","U.S. Virgin Islands","","True","U.S. Virgin Islands vs British Virgin Islands","2-4","CONCACAF_R2","","","","","","","",""
