"team_id","team_name","fifa_code","flag_code","confederation_id","fifa_rank","rank_snapshot_date","qualification_method","qualification_round","qualification_date","qualified_as","notes","source_name","source_url"
"JPN","Japan","JPN","JP","AFC","20","2023-07-20","Third round Group C winner","AFC_R3","2025-03-20","Direct qualifier","Qualified as Group C winner in Round 3","Wikipedia/Reuters","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)"
"IRN","Iran","IRN","IR","AFC","22","2023-07-20","Third round Group A winner","AFC_R3","2025-03-25","Direct qualifier","Qualified as Group A winner in Round 3","Wikipedia/Reuters","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)"
"UZB","Uzbekistan","UZB","UZ","AFC","74","2023-07-20","Third round Group A runner-up","AFC_R3","2025-06-05","Direct qualifier","Debut World Cup qualification","Wikipedia/Reuters","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)"
"KOR","South Korea","KOR","KR","AFC","28","2023-07-20","Third round Group B winner","AFC_R3","2025-06-05","Direct qualifier","Qualified as Group B winner in Round 3","Wikipedia/Reuters","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)"
"JOR","Jordan","JOR","JO","AFC","82","2023-07-20","Third round Group B runner-up","AFC_R3","2025-06-05","Direct qualifier","Debut World Cup qualification","Wikipedia/Reuters","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)"
"AUS","Australia","AUS","AU","AFC","27","2023-07-20","Third round Group C runner-up","AFC_R3","2025-06-10","Direct qualifier","Qualified as Group C runner-up in Round 3","Wikipedia/Reuters","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)"
"QAT","Qatar","QAT","QA","AFC","59","2023-07-20","Fourth round Group A winner","AFC_R4","2025-10-14","Direct qualifier from AFC fourth round","Qualified as Group A winner in Round 4","Wikipedia/Reuters","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)"
"KSA","Saudi Arabia","KSA","SA","AFC","54","2023-07-20","Fourth round Group B winner","AFC_R4","2025-10-14","Direct qualifier from AFC fourth round","Qualified as Group B winner in Round 4","Wikipedia/Reuters","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)"
"IRQ","Iraq","IRQ","IQ","AFC","70","2023-07-20","Inter-confederation playoff Pathway 2 winner","AFC_ICPO","2026-03-31","Inter-confederation playoff winner","Beat Bolivia 2-1 in playoff final to become AFC ninth qualifier","Wikipedia/Reuters","https://www.reuters.com/sports/soccer/iraq-qualify-world-cup-with-win-over-bolivia-2026-04-01/"
"caf_mar","Morocco","MAR","MA","CAF","13","2023-06-30","direct_group_winner","Group E winners","2025-09-05","Group E winners","Debut? No; 7th World Cup appearance including 2026.","FIFA / Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)"
"caf_tun","Tunisia","TUN","TN","CAF","31","2023-06-30","direct_group_winner","Group H winners","2025-09-08","Group H winners","7th World Cup appearance including 2026.","FIFA / Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)"
"caf_egy","Egypt","EGY","EG","CAF","34","2023-06-30","direct_group_winner","Group A winners","2025-10-08","Group A winners","4th World Cup appearance including 2026.","FIFA / Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)"
"caf_alg","Algeria","ALG","DZ","CAF","33","2023-06-30","direct_group_winner","Group G winners","2025-10-09","Group G winners","5th World Cup appearance including 2026.","FIFA / Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)"
"caf_gha","Ghana","GHA","GH","CAF","59","2023-06-30","direct_group_winner","Group I winners","2025-10-12","Group I winners","5th World Cup appearance including 2026.","FIFA / Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)"
"caf_cpv","Cape Verde","CPV","CV","CAF","66","2023-06-30","direct_group_winner","Group D winners","2025-10-13","Group D winners","World Cup debut.","FIFA / Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)"
"caf_rsa","South Africa","RSA","ZA","CAF","62","2023-06-30","direct_group_winner","Group C winners","2025-10-14","Group C winners","4th World Cup appearance including 2026.","FIFA / Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)"
"caf_sen","Senegal","SEN","SN","CAF","18","2023-06-30","direct_group_winner","Group B winners","2025-10-14","Group B winners","4th World Cup appearance including 2026.","FIFA / Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)"
