"round_id","confederation_id","round_order","round_name","round_type","description","start_date","end_date","teams_entered","teams_advanced","teams_eliminated","teams_qualified","source_name","source_url"
"AFC_R1","AFC","1","First Round","two_leg_playoff","Twenty teams ranked 27-46 played home-and-away over two legs. Ten winners advanced to Round 2.","2023-10-12","2023-10-17","20","10","10","0","Wikipedia/Reuters","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)"
"AFC_R2","AFC","2","Second Round","group_stage","Thirty-six teams were split into nine groups of four. Group winners and runners-up advanced to Round 3.","2023-11-16","2024-06-11","36","18","18","0","Wikipedia/Reuters","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)"
"AFC_R3","AFC","3","Third Round","group_stage","Eighteen teams were split into three groups of six. Top two in each group qualified for the World Cup; third/fourth went to Round 4.","2024-09-05","2025-06-10","18","6","6","6","Wikipedia/Reuters","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)"
"AFC_R4","AFC","4","Fourth Round","group_stage","Six teams were split into two centralized groups of three. Group winners qualified; runners-up advanced to Round 5.","2025-10-08","2025-10-14","6","2","2","2","Wikipedia/Reuters","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)"
"AFC_R5","AFC","5","Fifth Round","two_leg_playoff","The fourth-round group runners-up played over two legs for AFC's inter-confederation playoff place.","2025-11-13","2025-11-18","2","1","1","0","Wikipedia/Reuters","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(AFC)"
"AFC_ICPO","AFC","6","Inter-confederation Playoff","single_match_playoff","Iraq entered the FIFA Play-Off Tournament and beat Bolivia 2-1 to secure the final World Cup berth.","2026-03-31","2026-03-31","1","0","0","1","Wikipedia/Reuters","https://www.reuters.com/sports/soccer/iraq-qualify-world-cup-with-win-over-bolivia-2026-04-01/"
"caf_2026_first_round","CAF","1","First round / Group stage","group_stage","Nine groups. Group winners qualified directly for the 2026 World Cup; the four best runners-up advanced to the CAF playoff. Matches against sixth-place teams were excluded when ranking runners-up because Group E had five active teams after Eritrea withdrew.","2023-11-15","2025-10-14","54","4","41","9","FIFA / Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)"
"caf_2026_second_round","CAF","2","Second round / CAF play-off tournament","knockout_bracket","The four best runners-up played single-elimination matches in Morocco. DR Congo won and advanced to the inter-confederation playoffs.","2025-11-13","2025-11-16","4","1","3","0","FIFA / Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)"
"caf_2026_interconfed_playoff","CAF","3","Inter-confederation play-off","single_match_playoff","CAF playoff winner DR Congo entered the FIFA inter-confederation playoff tournament and qualified by defeating Jamaica after extra time.","2026-03-26","2026-03-31","1","0","0","1","FIFA / Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)"
"CONCACAF_HOSTS","CONCACAF","0","Host Qualification","host_auto","Canada, Mexico, and the United States qualified automatically as co-hosts.","2023-02-14","2023-02-14","3","3","0","3","FIFA","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CONCACAF)"
"CONCACAF_R1","CONCACAF","1","First Round","two_leg_playoff","Bottom four CONCACAF entrants played two-legged ties. Winners advanced to the second round.","2024-03-22","2024-03-26","4","2","2","0","FIFA / CONCACAF","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_%E2%80%93_CONCACAF_first_round"
"CONCACAF_R2","CONCACAF","2","Second Round","group_stage","Thirty teams in six groups of five. Each team played four matches. Group winners and runners-up advanced to the third round.","2024-06-05","2025-06-10","30","12","18","0","FIFA / CONCACAF","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_%E2%80%93_CONCACAF_second_round"
"CONCACAF_R3","CONCACAF","3","Third Round","group_stage","Twelve teams in three groups of four played home-and-away. Group winners qualified for the World Cup; two best runners-up advanced to the inter-confederation playoffs.","2025-09-04","2025-11-18","12","2","7","3","FIFA / CONCACAF","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_%E2%80%93_CONCACAF_third_round"
"CONCACAF_ICPO","CONCACAF","4","Inter-confederation Play-offs","single_match_playoff","Jamaica and Suriname entered FIFA inter-confederation play-offs. Both were eliminated; no additional CONCACAF teams qualified through the playoff tournament.","2026-03-26","2026-03-31","2","0","2","0","Reuters / FIFA","https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/play-off-tournament-review"
"CONMEBOL_R1","CONMEBOL","1","League Table","league_table","Single 10-team double round-robin. Top six qualified directly for the World Cup; seventh advanced to the inter-confederation playoff.","2023-09-07","2025-09-09","10","7","3","6","Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CONMEBOL)"
"CONMEBOL_ICPO","CONMEBOL","2","Inter-confederation Playoff","single_match_playoff","Bolivia, the seventh-place CONMEBOL team, entered the inter-confederation playoff. Bolivia beat Suriname in a semi-final and lost to Iraq in the final.","2026-03-26","2026-03-31","1","0","1","0","Wikipedia","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CONMEBOL)"
"ofc_r1","OFC","1","Round One","knockout_bracket","Four lowest-ranked teams played a three-match knockout round in Samoa. Samoa won the final and advanced to Round Two.","2024-09-06","2024-09-09","4","1","3","0","OFC Round One","https://www.oceaniafootball.com/fifa-world-cup-2026-oceania-qualifiers/"
"ofc_r2","OFC","2","Round Two","group_stage","Samoa joined the seven highest-ranked teams in two four-team groups. The top two teams in each group advanced to the Third Round.","2024-10-10","2024-11-18","8","4","4","0","OFC Round Two","https://www.oceaniafootball.com/fifa-world-cup-2026-oceania-qualifiers-round-two/"
"ofc_r3","OFC","3","Third Round","knockout_bracket","Four-team knockout round in New Zealand. New Zealand won the final and qualified directly for the World Cup. New Caledonia advanced to the inter-confederation playoff.","2025-03-21","2025-03-24","4","1","2","1","OFC Round Three","https://www.oceaniafootball.com/fifa-world-cup-26-oceania-qualifiers-round-three/"
"ofc_icp","OFC","4","Inter-confederation Playoff","single_match_playoff","OFC runner-up New Caledonia entered the FIFA World Cup 2026 Play-Off Tournament and lost 1-0 to Jamaica in the semifinal.","2026-03-26","2026-03-26","1","0","1","0","OFC Playoff Report","https://www.oceaniafootball.com/brave-new-caledonia-fall-narrowly-in-historic-fifa-world-cup-play-off/"
"UEFA_R1","UEFA","1","First Round - Group Stage","group_stage","Twelve groups: six groups of four and six groups of five. Teams played home-and-away. Group winners qualified directly; group runners-up advanced to play-offs; four Nations League group winners outside the top two also advanced.","2025-03-21","2025-11-18","54","16","38","12","UEFA qualification format","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(UEFA)"
"UEFA_R2","UEFA","2","Second Round - UEFA Play-offs","knockout_bracket","Sixteen teams entered four single-leg play-off paths. Each path had two semi-finals and one final. The four final winners qualified for the World Cup.","2026-03-26","2026-03-31","16","0","12","4","UEFA play-offs","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_%E2%80%93_UEFA_second_round"
