team_id,team_name,fifa_code,flag_code,confederation_id,is_fifa_member,entered_qualification,fifa_rank,rank_snapshot_date,draw_pot,group_id,final_status,qualified_for_world_cup,final_stage_reached,qualification_method,notes,source_name,source_url
ESP,Spain,ESP,ES,UEFA,true,true,3,2024-11-28,Pot 1,UEFA Group E,qualified,true,First round group stage,UEFA Group E winner,Qualified directly as UEFA Group E winner.,Wikipedia / FIFA Men's World Ranking draw pots,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(UEFA)
NED,Netherlands,NED,NL,UEFA,true,true,7,2024-11-28,Pot 1,UEFA Group G,qualified,true,First round group stage,UEFA Group G winner,Qualified directly as UEFA Group G winner.,Wikipedia / FIFA Men's World Ranking draw pots,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(UEFA)
FRA,France,FRA,FR,UEFA,true,true,2,2024-11-28,Pot 1,UEFA Group D,qualified,true,First round group stage,UEFA Group D winner,Qualified directly as UEFA Group D winner.,Wikipedia / FIFA Men's World Ranking draw pots,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(UEFA)
CRO,Croatia,CRO,HR,UEFA,true,true,13,2024-11-28,Pot 1,UEFA Group L,qualified,true,First round group stage,UEFA Group L winner,Qualified directly as UEFA Group L winner.,Wikipedia / FIFA Men's World Ranking draw pots,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(UEFA)
POR,Portugal,POR,PT,UEFA,true,true,6,2024-11-28,Pot 1,UEFA Group F,qualified,true,First round group stage,UEFA Group F winner,Qualified directly as UEFA Group F winner.,Wikipedia / FIFA Men's World Ranking draw pots,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(UEFA)
DEN,Denmark,DEN,DK,UEFA,true,true,21,2024-11-28,Pot 1,UEFA Group C,playoff_loss,false,Second round play-offs,,Reached UEFA second round play-offs but was eliminated.,Wikipedia / FIFA Men's World Ranking draw pots,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(UEFA)
ITA,Italy,ITA,IT,UEFA,true,true,9,2024-11-28,Pot 1,UEFA Group I,playoff_loss,false,Second round play-offs,,Reached UEFA second round play-offs but was eliminated.,Wikipedia / FIFA Men's World Ranking draw pots,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(UEFA)
GER,Germany,GER,DE,UEFA,true,true,10,2024-11-28,Pot 1,UEFA Group A,qualified,true,First round group stage,UEFA Group A winner,Qualified directly as UEFA Group A winner.,Wikipedia / FIFA Men's World Ranking draw pots,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(UEFA)
ENG,England,ENG,GB-ENG,UEFA,true,true,4,2024-11-28,Pot 1,UEFA Group K,qualified,true,First round group stage,UEFA Group K winner,Qualified directly as UEFA Group K winner.,Wikipedia / FIFA Men's World Ranking draw pots,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(UEFA)
BEL,Belgium,BEL,BE,UEFA,true,true,8,2024-11-28,Pot 1,UEFA Group J,qualified,true,First round group stage,UEFA Group J winner,Qualified directly as UEFA Group J winner.,Wikipedia / FIFA Men's World Ranking draw pots,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(UEFA)
SUI,Switzerland,SUI,CH,UEFA,true,true,20,2024-11-28,Pot 1,UEFA Group B,qualified,true,First round group stage,UEFA Group B winner,Qualified directly as UEFA Group B winner.,Wikipedia / FIFA Men's World Ranking draw pots,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(UEFA)
